,Date,Open,High,Low,Close,Adj Close,Volume,Day of Week,%_CloseChange
0,2022-08-29,17188.650390625,17380.150390625,17166.19921875,17312.900390625,17312.900390625,244900,Monday,
1,2022-08-30,17414.94921875,17777.650390625,17401.5,17759.30078125,17759.30078125,324700,Tuesday,2.578426378902554
2,2022-09-01,17485.69921875,17695.599609375,17468.44921875,17542.80078125,17542.80078125,308500,Thursday,-1.2190795272107646
3,2022-09-02,17598.400390625,17643.849609375,17476.44921875,17539.44921875,17539.44921875,256300,Friday,-0.01910505934481499
4,2022-09-05,17546.44921875,17683.150390625,17540.349609375,17665.80078125,17665.80078125,230300,Monday,0.7203850071011875
5,2022-09-06,17695.69921875,17764.650390625,17587.650390625,17655.599609375,17655.599609375,251200,Tuesday,-0.05774531254664206
6,2022-09-07,17519.400390625,17650.75,17484.30078125,17624.400390625,17624.400390625,354100,Wednesday,-0.17671004916441913
7,2022-09-08,17748.150390625,17807.650390625,17691.94921875,17798.75,17798.75,279800,Thursday,0.9892512965589573
8,2022-09-09,17923.349609375,17925.94921875,17786.0,17833.349609375,17833.349609375,270300,Friday,0.19439347917691308
9,2022-09-12,17890.849609375,17980.55078125,17889.150390625,17936.349609375,17936.349609375,228200,Monday,0.5775695663245095
10,2022-09-13,18044.44921875,18088.30078125,18015.44921875,18070.05078125,18070.05078125,259900,Tuesday,0.7454201929980142
11,2022-09-14,17771.150390625,18091.55078125,17771.150390625,18003.75,18003.75,365900,Wednesday,-0.3669097671756161
12,2022-09-15,18046.349609375,18096.150390625,17861.5,17877.400390625,17877.400390625,289600,Thursday,-0.7017960667916379
13,2022-09-16,17796.80078125,17820.05078125,17497.25,17530.849609375,17530.849609375,468500,Friday,-1.9384853148544656
14,2022-09-19,17540.650390625,17667.19921875,17429.69921875,17622.25,17622.25,258300,Monday,0.521368859248672
15,2022-09-20,17770.400390625,17919.30078125,17744.400390625,17816.25,17816.25,263100,Tuesday,1.1008809885230342
16,2022-09-21,17766.349609375,17838.69921875,17663.599609375,17718.349609375,17718.349609375,245500,Wednesday,-0.5495005437451739
17,2022-09-22,17609.650390625,17722.75,17532.44921875,17629.80078125,17629.80078125,284100,Thursday,-0.4997577656902563
18,2022-09-23,17593.849609375,17642.150390625,17291.650390625,17327.349609375,17327.349609375,390800,Friday,-1.7155677232420508
19,2022-09-26,17156.30078125,17196.400390625,16978.30078125,17016.30078125,17016.30078125,492000,Monday,-1.7951321762256445
20,2022-09-27,17110.900390625,17176.44921875,16942.349609375,17007.400390625,17007.400390625,359900,Tuesday,-0.052305085220449854
21,2022-09-28,16870.55078125,17037.599609375,16820.400390625,16858.599609375,16858.599609375,323900,Wednesday,-0.874917846539458
22,2022-09-29,16993.599609375,17026.05078125,16788.599609375,16818.099609375,16818.099609375,340000,Thursday,-0.24023347691036756
23,2022-09-30,16798.05078125,17187.099609375,16747.69921875,17094.349609375,17094.349609375,376100,Friday,1.642575596626905
24,2022-10-03,17102.099609375,17114.650390625,16855.55078125,16887.349609375,16887.349609375,278400,Monday,-1.2109264448790458
25,2022-10-04,17147.44921875,17287.30078125,17117.30078125,17274.30078125,17274.30078125,226000,Tuesday,2.291367093271912
26,2022-10-06,17379.25,17428.80078125,17315.650390625,17331.80078125,17331.80078125,265500,Thursday,0.33286441360573793
27,2022-10-07,17287.19921875,17337.349609375,17216.94921875,17314.650390625,17314.650390625,216300,Friday,-0.09895331040011834
28,2022-10-10,17094.349609375,17280.150390625,17064.69921875,17241.0,17241.0,234000,Monday,-0.425364584114718
29,2022-10-11,17256.05078125,17261.80078125,16950.30078125,16983.55078125,16983.55078125,282600,Tuesday,-1.49323831999304
30,2022-10-12,17025.55078125,17142.349609375,16960.05078125,17123.599609375,17123.599609375,256000,Wednesday,0.8246145339619648
31,2022-10-13,17087.349609375,17112.349609375,16956.94921875,17014.349609375,17014.349609375,266400,Thursday,-0.6380083772817624
32,2022-10-14,17322.30078125,17348.55078125,17169.75,17185.69921875,17185.69921875,227000,Friday,1.0070888003887335
33,2022-10-17,17144.80078125,17328.55078125,17098.55078125,17311.80078125,17311.80078125,212200,Monday,0.7337586960815656
34,2022-10-18,17438.75,17527.80078125,17434.05078125,17486.94921875,17486.94921875,239500,Tuesday,1.0117285874136073
35,2022-10-19,17568.150390625,17607.599609375,17472.849609375,17512.25,17512.25,210500,Wednesday,0.14468379208691928
36,2022-10-20,17423.099609375,17584.150390625,17421.0,17563.94921875,17563.94921875,249600,Thursday,0.2952174549244013
37,2022-10-21,17622.849609375,17670.150390625,17520.75,17576.30078125,17576.30078125,277700,Friday,0.07032337856462956
38,2022-10-24,17736.349609375,17777.55078125,17707.400390625,17730.75,17730.75,45000,Monday,0.8787356376761757
39,2022-10-25,17808.30078125,17811.5,17637.0,17656.349609375,17656.349609375,251400,Tuesday,-0.41961220267050514
40,2022-10-27,17771.400390625,17783.900390625,17654.5,17736.94921875,17736.94921875,324600,Thursday,0.45649078749665506
41,2022-10-28,17756.400390625,17838.900390625,17723.69921875,17786.80078125,17786.80078125,250000,Friday,0.2810605244745412
42,2022-10-31,17910.19921875,18022.80078125,17899.900390625,18012.19921875,18012.19921875,227200,Monday,1.26722303955642
43,2022-11-01,18130.69921875,18175.80078125,18060.150390625,18145.400390625,18145.400390625,349900,Tuesday,0.7395053222392978
44,2022-11-02,18177.900390625,18178.75,18048.650390625,18082.849609375,18082.849609375,270900,Wednesday,-0.3447197631545107
45,2022-11-03,17968.349609375,18106.30078125,17959.19921875,18052.69921875,18052.69921875,213000,Thursday,-0.16673473084335422
46,2022-11-04,18053.400390625,18135.099609375,18017.150390625,18117.150390625,18117.150390625,267900,Friday,0.3570168155688336
47,2022-11-07,18211.75,18255.5,18064.75,18202.80078125,18202.80078125,314800,Monday,0.4727586225111935
48,2022-11-09,18288.25,18296.400390625,18117.5,18157.0,18157.0,307200,Wednesday,-0.2516139235956394
49,2022-11-10,18044.349609375,18103.099609375,17969.400390625,18028.19921875,18028.19921875,256500,Thursday,-0.7093725904609771
50,2022-11-11,18272.349609375,18362.30078125,18259.349609375,18349.69921875,18349.69921875,378500,Friday,1.7833173247033374
51,2022-11-14,18376.400390625,18399.44921875,18311.400390625,18329.150390625,18329.150390625,301400,Monday,-0.11198455015547504
52,2022-11-15,18362.75,18427.94921875,18282.0,18403.400390625,18403.400390625,250900,Tuesday,0.40509242609507723
53,2022-11-16,18398.25,18442.150390625,18344.150390625,18409.650390625,18409.650390625,219300,Wednesday,0.03396111515991951
54,2022-11-17,18358.69921875,18417.599609375,18312.94921875,18343.900390625,18343.900390625,200500,Thursday,-0.357149639481924
55,2022-11-18,18382.94921875,18394.599609375,18209.80078125,18307.650390625,18307.650390625,198800,Friday,-0.19761337135545398
56,2022-11-21,18246.400390625,18262.30078125,18133.349609375,18159.94921875,18159.94921875,213800,Monday,-0.8067729540576885
57,2022-11-22,18179.150390625,18261.849609375,18137.69921875,18244.19921875,18244.19921875,177700,Tuesday,0.463933015368867
58,2022-11-23,18325.19921875,18325.400390625,18246.0,18267.25,18267.25,178800,Wednesday,0.12634580983039712
59,2022-11-24,18326.099609375,18529.69921875,18294.25,18484.099609375,18484.099609375,204000,Thursday,1.1870949889830174
60,2022-11-25,18528.44921875,18534.900390625,18445.099609375,18512.75,18512.75,205900,Friday,0.15500019600884762
61,2022-11-28,18430.55078125,18614.25,18365.599609375,18562.75,18562.75,206500,Monday,0.27008413120686026
62,2022-11-29,18552.44921875,18678.099609375,18552.150390625,18618.05078125,18618.05078125,195300,Tuesday,0.297912654375021
63,2022-11-30,18625.69921875,18816.05078125,18616.55078125,18758.349609375,18758.349609375,345600,Wednesday,0.7535634625419174
64,2022-12-01,18871.94921875,18887.599609375,18778.19921875,18812.5,18812.5,325000,Thursday,0.2886735334004964
65,2022-12-02,18752.400390625,18781.94921875,18639.19921875,18696.099609375,18696.099609375,254400,Friday,-0.6187396179402005
66,2022-12-05,18719.55078125,18728.599609375,18591.349609375,18701.05078125,18701.05078125,288400,Monday,0.026482378562620035
67,2022-12-06,18600.650390625,18654.900390625,18577.900390625,18642.75,18642.75,217800,Tuesday,-0.3117513659096294
68,2022-12-07,18638.849609375,18668.30078125,18528.400390625,18560.5,18560.5,200500,Wednesday,-0.4411902750398933
69,2022-12-08,18570.849609375,18625.0,18536.94921875,18609.349609375,18609.349609375,202800,Thursday,0.2631912360927746
70,2022-12-09,18662.400390625,18664.69921875,18410.099609375,18496.599609375,18496.599609375,215800,Friday,-0.6058782405979346
71,2022-12-12,18402.150390625,18521.55078125,18345.69921875,18497.150390625,18497.150390625,193900,Monday,0.002977743269738653
72,2022-12-13,18524.400390625,18617.25,18490.19921875,18608.0,18608.0,187600,Tuesday,0.599279386467999
73,2022-12-14,18671.25,18696.099609375,18632.900390625,18660.30078125,18660.30078125,208000,Wednesday,0.2810661073194387
74,2022-12-15,18614.400390625,18652.900390625,18387.69921875,18414.900390625,18414.900390625,183100,Thursday,-1.3150934355333654
75,2022-12-16,18319.099609375,18440.94921875,18255.150390625,18269.0,18269.0,277700,Friday,-0.792295301794177
76,2022-12-19,18288.099609375,18431.650390625,18244.55078125,18420.44921875,18420.44921875,154800,Monday,0.8289956688926514
77,2022-12-20,18340.30078125,18404.900390625,18202.650390625,18385.30078125,18385.30078125,169000,Tuesday,-0.19081205394395617
78,2022-12-21,18435.150390625,18473.349609375,18162.75,18199.099609375,18199.099609375,187600,Wednesday,-1.012771964355863
79,2022-12-22,18288.80078125,18318.75,18068.599609375,18127.349609375,18127.349609375,195700,Thursday,-0.39425027358517273
80,2022-12-23,17977.650390625,18050.44921875,17779.5,17806.80078125,17806.80078125,221500,Friday,-1.768316025411787
81,2022-12-26,17830.400390625,18084.099609375,17774.25,18014.599609375,18014.599609375,176700,Monday,1.1669632893506865
82,2022-12-27,18089.80078125,18149.25,17967.44921875,18132.30078125,18132.30078125,214300,Tuesday,0.6533654614990558
83,2022-12-28,18084.75,18173.099609375,18068.349609375,18122.5,18122.5,193900,Wednesday,-0.05405150382313817
84,2022-12-29,18045.69921875,18229.69921875,17992.80078125,18191.0,18191.0,281100,Thursday,0.377983170092433
85,2022-12-30,18259.099609375,18265.25,18080.30078125,18105.30078125,18105.30078125,192000,Friday,-0.471107793689185
86,2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,18197.44921875,256100,Monday,0.5089583355357918
87,2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,18232.55078125,208700,Tuesday,0.192892762485819
88,2023-01-04,18230.650390625,18243.0,18020.599609375,18042.94921875,18042.94921875,235200,Wednesday,-1.0399069487028845
89,2023-01-05,18101.94921875,18120.30078125,17892.599609375,17992.150390625,17992.150390625,269900,Thursday,-0.28154392892826285
90,2023-01-06,18008.05078125,18047.400390625,17795.55078125,17859.44921875,17859.44921875,238200,Friday,-0.7375503705446151
91,2023-01-09,17952.55078125,18141.400390625,17936.150390625,18101.19921875,18101.19921875,257200,Monday,1.3536251708490266
92,2023-01-10,18121.30078125,18127.599609375,17856.0,17914.150390625,17914.150390625,283300,Tuesday,-1.033350475095851
93,2023-01-11,17924.25,17976.349609375,17824.349609375,17895.69921875,17895.69921875,259900,Wednesday,-0.10299775022909463
94,2023-01-12,17920.849609375,17945.80078125,17761.650390625,17858.19921875,17858.19921875,227800,Thursday,-0.209547554088918
95,2023-01-13,17867.5,17999.349609375,17774.25,17956.599609375,17956.599609375,256700,Friday,0.5510095918388247
96,2023-01-16,18033.150390625,18049.650390625,17853.650390625,17894.849609375,17894.849609375,206200,Monday,-0.3438847072569362
97,2023-01-17,17922.80078125,18072.05078125,17886.94921875,18053.30078125,18053.30078125,219100,Tuesday,0.8854568511824201
98,2023-01-18,18074.30078125,18183.75,18032.44921875,18165.349609375,18165.349609375,255800,Wednesday,0.6206556323560042
99,2023-01-19,18119.80078125,18155.19921875,18063.75,18107.849609375,18107.849609375,237800,Thursday,-0.3165367099256078
100,2023-01-20,18115.599609375,18145.44921875,18016.19921875,18027.650390625,18027.650390625,237200,Friday,-0.44289753051891534
